name,email,id,password,phoneNumber,role,dateOfBirth,gender,address,isActive,status,registeredCourses,registeredSections,passedCourses,assignedCourses,assignedSections,cgpa,fees,timetable,__v,otpExpire,profilePicture
Rania Saad,rania.saad12@example.eg,F4648760,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100219470,student,1995-03-27,Male,"56 El-Gomhoreya Street, El-Raml",True,Active,"[""02-24-00104"", ""02-24-00108"", ""02-24-00105"", ""02-24-00109"", ""02-24-00110"", ""02-24-00101""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.88}]","[{""term"": ""Fall 2023"", ""amount"": 13780, ""paid"": true}]",[],0,2025-06-07T17:38:23.050221Z,
Nour El-Husseiny,nour.el-husseiny13@example.eg,K9078293,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100137112,student,1995-10-17,Male,"78 El-Seyouf Street, El-Ibrahimeya",True,Active,"[""02-24-00103"", ""02-24-00102"", ""02-24-00101"", ""02-24-00110"", ""02-24-00108""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.87}]","[{""term"": ""Fall 2023"", ""amount"": 14234, ""paid"": true}]",[],0,2025-05-20T17:38:23.050221Z,
Hassan El-Baz,hassan.el-baz14@example.eg,J3265308,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100969483,student,1992-03-06,Male,"90 El-Mahata Square, El-Mahata",True,Active,"[""02-24-00101"", ""02-24-00107"", ""02-24-00105"", ""02-24-00108""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.78}]","[{""term"": ""Fall 2023"", ""amount"": 13138, ""paid"": false}]",[],0,2025-06-01T17:38:23.050221Z,
Mohamed El-Desouky,mohamed.el-desouky15@example.eg,Q9992249,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100206012,student,1992-07-26,Female,"78 El-Salam Street, Sidi Bishr",True,Active,"[""02-24-00106"", ""02-24-00110"", ""02-24-00108"", ""02-24-00104""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.09}]","[{""term"": ""Fall 2023"", ""amount"": 12924, ""paid"": true}]",[],0,2025-05-31T17:38:23.050221Z,
Karim El-Husseiny,karim.el-husseiny16@example.eg,I1391018,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100690931,student,1992-12-11,Female,"78 El-Seyouf Street, El-Ibrahimeya",True,Active,"[""02-24-00109"", ""02-24-00108"", ""02-24-00110"", ""02-24-00104""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.71}]","[{""term"": ""Fall 2023"", ""amount"": 15751, ""paid"": true}]",[],0,2025-05-21T17:38:23.050221Z,
Mohamed Mansour,mohamed.mansour17@example.eg,J7774350,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100542071,student,2005-12-25,Female,"78 El-Seyouf Street, El-Ibrahimeya",True,Active,"[""02-24-00110"", ""02-24-00104"", ""02-24-00103"", ""02-24-00101""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.45}]","[{""term"": ""Fall 2023"", ""amount"": 13510, ""paid"": true}]",[],0,2025-05-22T17:38:23.051220Z,
Tarek Saad,tarek.saad18@example.eg,S5016864,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100138601,student,1991-02-11,Male,"12 El-Soudan Street, Sporting",True,Active,"[""02-24-00104"", ""02-24-00108"", ""02-24-00107"", ""02-24-00110""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.11}]","[{""term"": ""Fall 2023"", ""amount"": 17711, ""paid"": true}]",[],0,2025-06-02T17:38:23.051220Z,
Aya El-Husseiny,aya.el-husseiny19@example.eg,C6372347,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100504617,student,1993-09-28,Female,"123 El-Montaza Street, El-Montaza",True,Active,"[""02-24-00103"", ""02-24-00107"", ""02-24-00110"", ""02-24-00109"", ""02-24-00108"", ""02-24-00102""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.92}]","[{""term"": ""Fall 2023"", ""amount"": 10399, ""paid"": false}]",[],0,2025-05-30T17:38:23.051220Z,
Layla El-Desouky,layla.el-desouky20@example.eg,B2980535,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100746950,student,1993-10-21,Male,"34 El-Mansheya Square, El-Mansheya",True,Active,"[""02-24-00101"", ""02-24-00104"", ""02-24-00110"", ""02-24-00105""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.33}]","[{""term"": ""Fall 2023"", ""amount"": 11666, ""paid"": true}]",[],0,2025-05-25T17:38:23.051220Z,
Mariam El-Sayed,mariam.el-sayed21@example.eg,W7985239,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100166592,student,2011-10-27,Female,"56 El-Safa Street, Kafr Abdo",True,Active,"[""02-24-00108"", ""02-24-00104"", ""02-24-00109"", ""02-24-00107"", ""02-24-00105"", ""02-24-00101""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.53}]","[{""term"": ""Fall 2023"", ""amount"": 15989, ""paid"": true}]",[],0,2025-05-24T17:38:23.051220Z,
Mahmoud Sabbagh,mahmoud.sabbagh22@example.eg,Q8625810,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100751989,student,2007-01-30,Male,"34 El-Mansheya Square, El-Mansheya",True,Active,"[""02-24-00110"", ""02-24-00103"", ""02-24-00105"", ""02-24-00108"", ""02-24-00109""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.78}]","[{""term"": ""Fall 2023"", ""amount"": 16697, ""paid"": true}]",[],0,2025-05-23T17:38:23.051220Z,
Nour Helmy,nour.helmy23@example.eg,L1239671,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100763964,student,1991-08-22,Male,"12 El-Nasr Street, Smouha",True,Active,"[""02-24-00106"", ""02-24-00104"", ""02-24-00105"", ""02-24-00102"", ""02-24-00109""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.29}]","[{""term"": ""Fall 2023"", ""amount"": 16328, ""paid"": false}]",[],0,2025-05-29T17:38:23.051220Z,
Layla Sabbagh,layla.sabbagh24@example.eg,C5494417,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100998405,student,2008-01-23,Female,"78 El-Horreya Road, El-Mandara",True,Active,"[""02-24-00105"", ""02-24-00101"", ""02-24-00104"", ""02-24-00103"", ""02-24-00107""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.59}]","[{""term"": ""Fall 2023"", ""amount"": 17937, ""paid"": true}]",[],0,2025-05-17T17:38:23.051220Z,
Khaled Naguib,khaled.naguib25@example.eg,B8017221,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100132670,student,2005-03-23,Male,"12 El-Shatby Street, El-Shatby",True,Active,"[""02-24-00108"", ""02-24-00104"", ""02-24-00101"", ""02-24-00103"", ""02-24-00102""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.04}]","[{""term"": ""Fall 2023"", ""amount"": 10640, ""paid"": true}]",[],0,2025-05-18T17:38:23.051220Z,
Noha Helmy,noha.helmy26@example.eg,A3728111,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100899291,student,1996-03-29,Male,"12 El-Soudan Street, Sporting",True,Active,"[""02-24-00106"", ""02-24-00107"", ""02-24-00109"", ""02-24-00104""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.18}]","[{""term"": ""Fall 2023"", ""amount"": 16492, ""paid"": false}]",[],0,2025-06-09T17:38:23.051220Z,
Khaled El-Gharbawy,khaled.el-gharbawy27@example.eg,R8508359,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100203939,student,1992-02-04,Female,"12 El-Nasr Street, Smouha",True,Active,"[""02-24-00104"", ""02-24-00108"", ""02-24-00102"", ""02-24-00109"", ""02-24-00110"", ""02-24-00105""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.72}]","[{""term"": ""Fall 2023"", ""amount"": 11745, ""paid"": true}]",[],0,2025-06-10T17:38:23.051220Z,
Aya Gaber,aya.gaber28@example.eg,B2447717,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100250918,student,2011-07-23,Male,"78 El-Seyouf Street, El-Ibrahimeya",True,Active,"[""02-24-00104"", ""02-24-00102"", ""02-24-00106"", ""02-24-00101"", ""02-24-00110""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.03}]","[{""term"": ""Fall 2023"", ""amount"": 14047, ""paid"": false}]",[],0,2025-06-06T17:38:23.051220Z,
Karim Mansour,karim.mansour29@example.eg,O4783169,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100454908,student,2011-04-15,Female,"45 El-Miami Street, Sidi Gaber",True,Active,"[""02-24-00102"", ""02-24-00101"", ""02-24-00103"", ""02-24-00110"", ""02-24-00108"", ""02-24-00106""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.22}]","[{""term"": ""Fall 2023"", ""amount"": 13187, ""paid"": true}]",[],0,2025-06-11T17:38:23.051220Z,
Ibrahim Mansour,ibrahim.mansour30@example.eg,A3944703,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100639780,student,1991-12-31,Male,"78 El-Salam Street, Sidi Bishr",True,Active,"[""02-24-00110"", ""02-24-00105"", ""02-24-00104"", ""02-24-00109"", ""02-24-00108""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.79}]","[{""term"": ""Fall 2023"", ""amount"": 16125, ""paid"": false}]",[],0,2025-05-17T17:38:23.051220Z,
Ahmed El-Desouky,ahmed.el-desouky31@example.eg,G7601077,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100806907,student,1997-02-02,Female,"78 El-Salam Street, Sidi Bishr",True,Active,"[""02-24-00104"", ""02-24-00109"", ""02-24-00101"", ""02-24-00103"", ""02-24-00107"", ""02-24-00108""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.09}]","[{""term"": ""Fall 2023"", ""amount"": 13415, ""paid"": false}]",[],0,2025-05-24T17:38:23.051220Z,
Layla El-Desouky,layla.el-desouky32@example.eg,D2233584,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100311385,student,1999-02-05,Female,"34 El-Mansheya Square, El-Mansheya",True,Active,"[""02-24-00107"", ""02-24-00108"", ""02-24-00102"", ""02-24-00110"", ""02-24-00101""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.26}]","[{""term"": ""Fall 2023"", ""amount"": 13284, ""paid"": true}]",[],0,2025-05-29T17:38:23.051220Z,
Nour El-Desouky,nour.el-desouky33@example.eg,P6880934,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100205144,student,2010-09-27,Female,"45 El-Miami Street, Sidi Gaber",True,Active,"[""02-24-00104"", ""02-24-00103"", ""02-24-00109"", ""02-24-00102"", ""02-24-00101"", ""02-24-00106""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.43}]","[{""term"": ""Fall 2023"", ""amount"": 13651, ""paid"": false}]",[],0,2025-05-26T17:38:23.051220Z,
Khaled Saad,khaled.saad34@example.eg,F5035524,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100468591,student,2011-08-11,Male,"123 El-Montaza Street, El-Montaza",True,Active,"[""02-24-00110"", ""02-24-00102"", ""02-24-00107"", ""02-24-00105""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.22}]","[{""term"": ""Fall 2023"", ""amount"": 19799, ""paid"": false}]",[],0,2025-05-27T17:38:23.051220Z,
Fatima Amr,fatima.amr35@example.eg,M6461580,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100117959,student,2010-04-08,Female,"56 El-Gomhoreya Street, El-Raml",True,Active,"[""02-24-00106"", ""02-24-00104"", ""02-24-00110"", ""02-24-00108"", ""02-24-00101"", ""02-24-00107""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.58}]","[{""term"": ""Fall 2023"", ""amount"": 12675, ""paid"": false}]",[],0,2025-05-28T17:38:23.051220Z,
Rania Sabbagh,rania.sabbagh36@example.eg,W5745265,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100910823,student,2004-01-23,Male,"78 El-Horreya Road, El-Mandara",True,Active,"[""02-24-00103"", ""02-24-00110"", ""02-24-00109"", ""02-24-00107"", ""02-24-00102""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.48}]","[{""term"": ""Fall 2023"", ""amount"": 14008, ""paid"": true}]",[],0,2025-06-09T17:38:23.051220Z,
Noha Mansour,noha.mansour37@example.eg,U7245513,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100491760,student,2013-04-13,Male,"123 El-Montaza Street, El-Montaza",True,Active,"[""02-24-00104"", ""02-24-00105"", ""02-24-00109"", ""02-24-00102"", ""02-24-00106"", ""02-24-00101""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.65}]","[{""term"": ""Fall 2023"", ""amount"": 14868, ""paid"": true}]",[],0,2025-06-06T17:38:23.051220Z,
Rania Amr,rania.amr38@example.eg,L7091806,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100210256,student,2014-12-07,Male,"34 El-Horreya Avenue, Louran",True,Active,"[""02-24-00105"", ""02-24-00106"", ""02-24-00109"", ""02-24-00107""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.08}]","[{""term"": ""Fall 2023"", ""amount"": 11989, ""paid"": true}]",[],0,2025-06-10T17:38:23.051220Z,
Khaled El-Desouky,khaled.el-desouky39@example.eg,C4824843,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100197955,student,2008-07-29,Male,"12 El-Nasr Street, Smouha",True,Active,"[""02-24-00108"", ""02-24-00103"", ""02-24-00106"", ""02-24-00101"", ""02-24-00107""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.6}]","[{""term"": ""Fall 2023"", ""amount"": 17215, ""paid"": false}]",[],0,2025-05-26T17:38:23.051220Z,
Rania El-Masry,rania.el-masry40@example.eg,D5760346,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100194515,student,2007-08-18,Male,"78 El-Salam Street, Sidi Bishr",True,Active,"[""02-24-00105"", ""02-24-00109"", ""02-24-00101"", ""02-24-00102"", ""02-24-00106"", ""02-24-00108""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.1}]","[{""term"": ""Fall 2023"", ""amount"": 12496, ""paid"": true}]",[],0,2025-06-15T17:38:23.051220Z,
Hassan El-Sayed,hassan.el-sayed41@example.eg,F3882594,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100341150,student,2001-08-07,Female,"90 El-Gaish Road, Agami",True,Active,"[""02-24-00102"", ""02-24-00101"", ""02-24-00105"", ""02-24-00108"", ""02-24-00107"", ""02-24-00109""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.32}]","[{""term"": ""Fall 2023"", ""amount"": 14497, ""paid"": true}]",[],0,2025-05-24T17:38:23.052220Z,
Dina Mansour,dina.mansour42@example.eg,A9416316,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100690022,student,2016-11-15,Male,"12 El-Shatby Street, El-Shatby",True,Active,"[""02-24-00104"", ""02-24-00108"", ""02-24-00105"", ""02-24-00109""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.5}]","[{""term"": ""Fall 2023"", ""amount"": 14952, ""paid"": true}]",[],0,2025-05-21T17:38:23.052220Z,
Mahmoud Naguib,mahmoud.naguib43@example.eg,P1345668,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100774347,student,2010-02-24,Female,"78 El-Salam Street, Sidi Bishr",True,Active,"[""02-24-00110"", ""02-24-00109"", ""02-24-00101"", ""02-24-00103""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.36}]","[{""term"": ""Fall 2023"", ""amount"": 11852, ""paid"": false}]",[],0,2025-05-24T17:38:23.052220Z,
Omar Mansour,omar.mansour44@example.eg,L4714849,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100592935,student,2002-08-06,Male,"56 El-Safa Street, Kafr Abdo",True,Active,"[""02-24-00108"", ""02-24-00102"", ""02-24-00103"", ""02-24-00104"", ""02-24-00106"", ""02-24-00107""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.33}]","[{""term"": ""Fall 2023"", ""amount"": 11264, ""paid"": false}]",[],0,2025-06-06T17:38:23.052220Z,
Nour Sabbagh,nour.sabbagh45@example.eg,L7090692,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100864150,student,2003-11-27,Female,"90 El-Gaish Road, Agami",True,Active,"[""02-24-00105"", ""02-24-00108"", ""02-24-00103"", ""02-24-00107"", ""02-24-00102""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.98}]","[{""term"": ""Fall 2023"", ""amount"": 10645, ""paid"": true}]",[],0,2025-05-24T17:38:23.052220Z,
Mohamed El-Sherbiny,mohamed.el-sherbiny46@example.eg,I1600009,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100764163,student,1999-09-11,Female,"56 El-Gomhoreya Street, El-Raml",True,Active,"[""02-24-00108"", ""02-24-00102"", ""02-24-00106"", ""02-24-00109""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.92}]","[{""term"": ""Fall 2023"", ""amount"": 14576, ""paid"": false}]",[],0,2025-05-31T17:38:23.052220Z,
Ahmed El-Baz,ahmed.el-baz47@example.eg,F7634426,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100916445,student,1991-08-24,Male,"12 El-Shatby Street, El-Shatby",True,Active,"[""02-24-00102"", ""02-24-00101"", ""02-24-00104"", ""02-24-00110"", ""02-24-00103"", ""02-24-00108""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.21}]","[{""term"": ""Fall 2023"", ""amount"": 19880, ""paid"": true}]",[],0,2025-05-28T17:38:23.052220Z,
Omar El-Gharbawy,omar.el-gharbawy48@example.eg,D5202909,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100688380,student,2016-06-25,Female,"12 El-Shatby Street, El-Shatby",True,Active,"[""02-24-00108"", ""02-24-00102"", ""02-24-00101"", ""02-24-00106""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.51}]","[{""term"": ""Fall 2023"", ""amount"": 17880, ""paid"": true}]",[],0,2025-06-14T17:38:23.052220Z,
Fatima El-Kady,fatima.el-kady49@example.eg,M7712682,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100468631,student,2006-02-11,Male,"90 El-Gaish Road, Agami",True,Active,"[""02-24-00110"", ""02-24-00103"", ""02-24-00108"", ""02-24-00105"", ""02-24-00109"", ""02-24-00107""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.77}]","[{""term"": ""Fall 2023"", ""amount"": 13487, ""paid"": true}]",[],0,2025-06-01T17:38:23.052220Z,
